origin_country,total_flights,avg_velocity,on_ground
Algeria,1,239.45,0
Angola,1,168.75,0
Argentina,10,182.891,2
Australia,245,116.66151020408164,48
Austria,33,181.38303030303032,4
Azerbaijan,5,212.138,0
Bahrain,6,215.67333333333332,0
Bangladesh,11,102.36090909090909,1
Belarus,1,197.16,0
Belgium,22,179.8177272727273,4
Bhutan,2,262.6,0
Bolivia,1,242.84,0
Brazil,25,195.18919999999997,2
Brunei Darussalam,2,195.31,0
Bulgaria,7,435.6771428571428,0
Cambodia,3,193.12666666666667,0
Canada,150,132.76786666666666,50
Chile,15,216.37733333333333,0
China,208,172.1639423076923,30
Colombia,4,29.9475,3
Croatia,4,212.02,0
Cyprus,1,43.08,0
Czech Republic,11,180.32181818181817,2
Denmark,5,125.48799999999999,1
Dominican Republic,3,149.33,0
Ecuador,1,203.63,0
Egypt,18,204.15055555555557,1
Estonia,2,121.21,1
Ethiopia,13,203.5,1
Fiji,3,167.5533333333333,0
Finland,39,144.2551282051282,8
France,101,207.1818811881188,2
Georgia,5,83.376,3
Germany,119,180.03840336134454,14
Greece,14,160.3114285714286,1
Hungary,62,189.08790322580646,6
Iceland,10,170.70999999999998,1
India,187,172.92737967914437,19
Indonesia,56,213.47017857142856,2
Ireland,163,198.54134969325153,8
Islamic Republic of Iran,1,112.92,0
Israel,31,160.22612903225806,1
Italy,10,177.474,1
Japan,170,155.8124117647059,34
Jordan,1,191.77,0
Kazakhstan,2,170.345,0
Kenya,3,89.52333333333333,1
Kingdom of the Netherlands,88,174.66875000000002,17
Kuwait,4,153.6325,0
Kyrgyzstan,1,205.35,0
Latvia,18,189.55944444444447,1
Lebanon,6,216.80500000000004,0
Libyan Arab Jamahiriya,1,172.57,0
Lithuania,13,55.385384615384616,8
Luxembourg,16,202.675625,1
Malaysia,73,188.2535616438356,1
Malta,123,200.36951219512196,7
Mauritius,2,181.555,0
Mexico,24,150.89291666666665,6
Morocco,7,226.0157142857143,0
Myanmar,3,208.05666666666664,0
Nepal,3,180.9666666666667,0
New Zealand,63,108.31206349206349,6
Norway,7,237.11285714285714,0
Oman,5,220.9,0
Pakistan,7,227.50428571428571,0
Panama,10,198.517,0
Papua New Guinea,1,155.55,0
Philippines,33,131.23636363636365,6
Poland,54,212.80629629629632,2
Portugal,33,201.7378787878788,0
Qatar,89,193.10943820224722,5
Republic of Korea,98,175.3018367346939,7
Republic of Moldova,3,157.51666666666668,0
Romania,6,231.82500000000002,0
Russian Federation,46,122.06065217391304,6
Rwanda,1,242.39,0
San Marino,5,129.962,1
Saudi Arabia,23,223.58956521739128,0
Serbia,3,123.33666666666666,1
Singapore,42,200.81095238095236,1
South Africa,22,132.08863636363637,1
Spain,64,195.41015625,4
Sri Lanka,6,153.33333333333334,0
Sweden,18,174.5688888888889,2
Switzerland,42,132.9090476190476,17
Taiwan,58,218.33086206896553,1
Thailand,86,187.24162790697676,3
Tunisia,3,213.99,0
Turkey,175,194.3722857142857,7
Ukraine,1,111.03,0
United Arab Emirates,129,211.04627906976745,1
United Kingdom,92,169.62010869565216,18
United Republic of Tanzania,2,134.91,0
United States,834,150.52351318944844,105
Uzbekistan,7,248.39857142857142,0
Viet Nam,21,199.05904761904762,1
