icao24,origin_country,velocity,geo_altitude
e49406,Brazil,145.6,3276.6
ab1644,United States,124.7,2057.4
80162d,India,209.05,11201.4
ac96b8,United States,273.68,10363.2
a2e5ec,United States,173.24,10477.5
aa56da,United States,184.57,11750.04
7c6b2f,Australia,82.03,563.88
7c6b2d,Australia,140.99,1805.94
408121,United Kingdom,234.75,9052.56
88044e,Thailand,224.51,8831.58
7c6b41,Australia,94.07,944.88
ade191,United States,62.25,525.78
801640,India,222.79,9509.76
801645,India,0.0,
ab6fdd,United States,148.12,4328.16
a3b87f,United States,231.76,9677.4
8a02ff,Indonesia,66.79,480.06
a73857,United States,114.96,792.48
880452,Thailand,252.49,11079.48
880451,Thailand,242.86,11292.84
a305fd,United States,199.93,10325.1
880455,Thailand,157.52,4122.42
aa56d8,United States,210.53,11247.12
4b1804,Switzerland,0.26,
a34e6a,United States,243.86,10363.2
aa56d4,United States,269.58,10728.96
880450,Thailand,224.35,8816.34
80163c,India,293.65,11071.86
4b1801,Switzerland,0.13,
7c6b31,Australia,273.17,11026.14
ab63b4,United States,94.72,3802.38
ac1c0b,United States,160.34,10340.34
a3b88e,United States,211.64,10668.0
880443,Thailand,220.35,11658.6
4952cb,Portugal,188.98,9403.08
7c6b37,Australia,163.66,3063.24
a58224,United States,272.14,8679.18
8a02ea,Indonesia,214.85,8656.32
a282e5,United States,0.06,
7c6b36,Australia,207.79,5935.98
a36898,United States,234.03,9182.1
a41ee6,United States,230.08,12085.32
ad3c16,United States,242.02,10995.66
a1c5f2,United States,22.71,114.3
7c6b0e,Australia,6.94,
7c6b0c,Australia,246.23,10302.24
a70b23,United States,212.21,13464.54
7c6b0b,Australia,209.71,11231.88
aaa6e4,United States,324.35,12199.62
abacb6,United States,271.92,11049.0
a1befc,United States,113.7,2004.06
a798ea,United States,31.98,685.8
80160e,India,3.86,
851914,Japan,0.0,
80160d,India,235.28,11742.42
aaa6dd,United States,247.0,10774.68
a21b44,United States,0.0,
a2221b,United States,44.54,381.0
aaf656,United States,206.85,12169.14
a305d8,United States,46.99,2971.8
aa56b6,United States,129.94,1996.44
aa56b8,United States,236.53,11628.12
a22e91,United States,47.18,541.02
a8e39a,United States,60.97,3238.5
ad5623,United States,182.12,3771.9
7c6b09,Australia,9.77,
801627,India,220.16,10538.46
c047d8,Canada,3.86,
801625,India,237.56,11132.82
ad5628,United States,203.33,4617.72
a1c5e0,United States,239.33,9197.34
ac2f5a,United States,181.47,5974.08
a48850,United States,231.55,6736.08
ad694c,United States,257.18,9166.86
a33b1e,United States,224.32,9966.96
a282c0,United States,71.74,1386.84
7c6b17,Australia,51.44,
4952ab,Portugal,127.42,2903.22
a6fe31,United States,64.92,1135.38
7c6b13,Australia,223.87,7467.6
e8023b,Chile,119.04,3451.86
acd3a4,United States,50.67,838.2
ab0356,United States,0.0,
a34280,United States,46.95,449.58
a2228b,United States,193.89,10904.22
aad012,United States,234.3,11391.9
ac232e,United States,281.14,12649.2
a45b82,United States,170.53,11490.96
8a02d4,Indonesia,175.35,6789.42
c822ed,New Zealand,98.02,4244.34
abacd2,United States,236.62,8999.22
e4943e,Brazil,232.33,12275.82
7c7268,Australia,59.7,1676.4
c822ec,New Zealand,113.32,3017.52
801685,India,198.14,5996.94
4bc8c8,Turkey,222.15,10744.2
ac1c3f,United States,42.73,320.04
ad3c1f,United States,192.61,7132.32
ab63db,United States,46.01,861.06
e49444,Brazil,223.48,12321.54
4bc8c5,Turkey,0.0,
a7b057,United States,209.15,9250.68
a45b78,United States,45.94,2232.66
abb3b6,United States,248.33,10576.56
e8024c,Chile,5.92,
4bc8d0,Turkey,4.63,
4952a8,Portugal,212.11,10073.64
80167e,India,136.38,1927.86
e8024a,Chile,99.2,3482.34
a4d82c,United States,42.97,693.42
abf008,United States,220.18,7360.92
4952a1,Portugal,242.46,10073.64
a3425f,United States,49.41,510.54
abb3be,United States,3.86,
