icao24,origin_country,velocity,on_ground
80162c,India,249.11,False
ac96b8,United States,77.25,False
801638,India,202.88,False
88044a,Thailand,217.18,False
a2e5ec,United States,247.23,False
7c6b2f,Australia,141.59,False
408121,United Kingdom,249.84,False
7c6b41,Australia,244.95,False
a3b87f,United States,0.32,True
842194,Japan,209.59,False
801643,India,205.84,False
8a02ff,Indonesia,218.39,False
880452,Thailand,216.96,False
80162f,India,202.42,False
880458,Thailand,211.49,False
880457,Thailand,184.69,False
880450,Thailand,250.65,False
801649,India,4.63,True
aa3cc2,United States,64.08,False
801647,India,4.12,True
801650,India,263.38,False
c81bce,New Zealand,148.36,False
801657,India,245.74,False
00b22b,South Africa,226.55,False
a282e5,United States,188.92,False
7c6b37,Australia,128.74,False
00b22c,South Africa,225.7,False
a36898,United States,218.23,False
acdfa3,United States,220.4,False
80160b,India,220.12,False
a1c5f2,United States,26.37,False
a1befb,United States,47.24,False
7c6b0e,Australia,183.71,False
7c6b0c,Australia,257.27,False
7c6b0b,Australia,73.21,False
aaa6e4,United States,270.31,False
abacb6,United States,205.0,False
801619,India,187.54,False
0d0c18,Mexico,80.73,False
801623,India,200.43,False
801622,India,100.95,False
80160e,India,246.69,False
80160f,India,8.23,True
a21b44,United States,259.39,False
aaa6dd,United States,225.7,False
aa56b6,United States,211.53,False
ad5623,United States,69.03,False
7c6b09,Australia,0.77,True
80161a,India,281.62,False
a0e250,United States,206.4,False
801631,India,102.7,False
a48850,United States,249.02,False
801632,India,183.97,False
7c6b17,Australia,236.8,False
80161e,India,244.82,False
7c6b14,Australia,155.29,False
7c6b12,Australia,207.67,False
8a02d6,Indonesia,234.59,False
80166a,India,79.74,False
ac498c,United States,203.31,False
ab0356,United States,198.36,False
c822ed,New Zealand,5.4,True
aae32d,United States,79.23,False
e4943e,Brazil,246.7,False
4b1855,Switzerland,212.38,False
0aa001,Barbados,242.7,False
ab034d,United States,255.33,False
ad3c1f,United States,210.82,False
4bc8c7,Turkey,249.59,False
4bc8c4,Turkey,210.8,False
e49445,Brazil,236.77,False
a7b057,United States,268.38,False
ab0361,United States,144.69,False
4bc8c1,Turkey,218.45,False
80167e,India,217.18,False
80167b,India,138.12,False
80167f,India,223.57,False
e4944e,Brazil,244.56,False
4952a3,Portugal,259.03,False
4952a5,Portugal,163.05,False
801699,India,187.64,False
4bc8d5,Turkey,171.34,False
a58e1e,United States,208.69,False
4bc8d2,Turkey,234.19,False
a963f7,United States,125.01,False
80164e,India,138.39,False
a39bfa,United States,200.26,False
a35592,United States,0.0,True
471eff,Hungary,153.8,False
408143,United Kingdom,269.35,False
471efd,Hungary,234.18,False
801665,India,249.24,False
801666,India,211.28,False
a34268,United States,245.97,False
7c6b3b,Australia,201.63,False
8744d4,Japan,202.75,False
7c7239,Australia,72.43,False
a34e97,United States,5.4,True
a3689e,United States,0.06,True
7c6b3c,Australia,84.89,False
a46e6a,United States,242.11,False
801675,India,66.94,False
a88075,United States,227.55,False
c01b6c,Canada,2.57,True
a94b50,United States,203.75,False
a69b92,United States,121.29,False
e80211,Chile,212.09,False
a94b4b,United States,192.57,False
3c65ad,Germany,266.12,False
3c65ac,Germany,69.94,False
ab649a,United States,252.42,False
8a040b,Indonesia,178.45,False
4b187a,Switzerland,199.66,False
4b1883,Switzerland,168.36,False
4b1885,Switzerland,106.61,False
3455d5,Spain,248.02,False
a83e86,United States,220.47,False
4b1882,Switzerland,228.23,False
70801b,Lao People's Democratic Republic,206.46,False
